original_price,discount_percent,item_category,campaign_type,channel,hour_of_day,day_of_week,days_since_first_event,user_product_view_count,user_product_purchase_count,user_product_interaction_count,user_activity_count,item_popularity,conversion_probability,converted_predicted,user_pseudo_id,item_id
443.33,20,Beauty,Flash Sale,On-site Banner,8,Wednesday,12,1,0,1,27,43,0.48487148,0,user_1635,item_517
315.26,50,Beauty,Generic,Email,21,Thursday,54,1,0,1,26,60,0.48803562,0,user_912,item_509
119.67,50,Home,First-Time Buyer,Social Media,8,Monday,12,1,0,1,27,55,0.6885516,1,user_568,item_943
346.88,0,Apparel,Category-Specific,Social Media,21,Thursday,54,0,0,0,28,60,0.4797949,0,user_947,item_896
352.57,30,Home,First-Time Buyer,Social Media,14,Sunday,16,1,0,1,31,55,0.30136648,0,user_954,item_836
36.67,50,Footwear,Generic,Email,19,Saturday,43,1,0,1,25,51,0.4624706,0,user_1999,item_790
107.95,20,Electronics,Category-Specific,Social Media,18,Wednesday,25,1,0,1,28,55,0.57724863,1,user_1320,item_876
465.87,30,Home,Flash Sale,Social Media,21,Friday,18,1,0,1,27,54,0.1705257,0,user_66,item_185
333.97,70,Toys,Abandoned Cart Recovery,On-site Banner,15,Sunday,25,1,0,1,26,60,0.7681723,1,user_1854,item_800
294.52,20,Sports,First-Time Buyer,Social Media,9,Wednesday,25,0,0,0,27,55,0.41136277,0,user_104,item_492
401.8,20,Grocery,First-Time Buyer,Referral,9,Tuesday,45,0,0,0,21,52,0.329262,0,user_718,item_352
44.41,50,Grocery,Abandoned Cart Recovery,Email,21,Saturday,57,0,0,0,33,48,0.5728379,1,user_1097,item_99
138.07,0,Home,Flash Sale,Push Notification,12,Sunday,37,0,0,0,28,52,0.2510422,0,user_843,item_183
64.99,0,Home,Abandoned Cart Recovery,Social Media,17,Thursday,9,1,0,1,25,42,0.2979199,0,user_1575,item_448
84.64,10,Footwear,Abandoned Cart Recovery,Referral,20,Saturday,46,0,0,0,22,52,0.2617804,0,user_1985,item_971
208.1,10,Beauty,Abandoned Cart Recovery,Push Notification,18,Monday,45,0,1,1,19,53,0.269957,0,user_168,item_580
441.32,70,Apparel,Category-Specific,Social Media,11,Friday,41,1,0,1,27,54,0.6345911,1,user_497,item_131
189.95,30,Electronics,Category-Specific,Social Media,17,Thursday,11,1,0,1,27,57,0.59846455,1,user_1130,item_762
465.1,50,Books,Generic,Push Notification,19,Monday,42,1,0,1,26,47,0.69915366,1,user_33,item_11
67.43,30,Books,Category-Specific,On-site Banner,10,Monday,9,0,0,0,23,51,0.40460294,0,user_405,item_182
409.24,0,Home,Abandoned Cart Recovery,On-site Banner,18,Friday,34,1,0,1,40,53,0.3670256,0,user_512,item_195
